Year,Month,Day,Time,Open,High,Low,Close,Volume
2017,1,2,09:15:00,8210.1,8211.7,8169.15,8174.4,0
2017,1,2,09:20:00,8174.6,8174.9,8164.6,8169.4,0
2017,1,2,09:25:00,8169.5,8171.5,8150.9,8150.9,0
2017,1,2,09:30:00,8150.15,8161.2,8141.35,8161,0
2017,1,2,09:35:00,8161.05,8167.75,8154.3,8165.3,0
2017,1,2,09:40:00,8164.75,8165.95,8157.65,8163.65,0
2017,1,2,09:45:00,8163.6,8163.8,8153.55,8156.3,0
2017,1,2,09:50:00,8156.2,8157.75,8153.25,8157.3,0
2017,1,2,09:55:00,8157.3,8162.9,8156.95,8157.9,0
2017,1,2,10:00:00,8157.75,8161.35,8156.7,8159.2,0
2017,1,2,10:05:00,8160,8161.05,8156.05,8157,0
2017,1,2,10:10:00,8157.05,8157.05,8152.6,8154.8,0
2017,1,2,10:15:00,8155.15,8156.9,8153.45,8155.35,0
2017,1,2,10:20:00,8155.35,8160.15,8155.35,8159.35,0
2017,1,2,10:25:00,8159.7,8161.8,8157.45,8157.45,0
2017,1,2,10:30:00,8157.6,8158,8150.9,8151.3,0
2017,1,2,10:35:00,8151.15,8151.35,8144.3,8145.6,0
2017,1,2,10:40:00,8146.1,8148.75,8145.6,8147.6,0
2017,1,2,10:45:00,8148.1,8148.65,8135.8,8138.15,0
2017,1,2,10:50:00,8138.2,8141.65,8134.3,8140.8,0
2017,1,2,10:55:00,8140.85,8142.75,8136.35,8142.05,0
2017,1,2,11:00:00,8141.9,8145.35,8140.4,8143.55,0
2017,1,2,11:05:00,8143.55,8147.75,8142.45,8147.75,0
2017,1,2,11:10:00,8147.8,8149.1,8145.4,8146.8,0
2017,1,2,11:15:00,8146.95,8147.45,8141.75,8141.95,0
2017,1,2,11:20:00,8142,8142,8137.5,8139.2,0
2017,1,2,11:25:00,8138.65,8146.15,8138.65,8146.05,0
2017,1,2,11:30:00,8146.2,8148.2,8144.35,8147.4,0
2017,1,2,11:35:00,8147.3,8150.15,8147.15,8149.9,0
2017,1,2,11:40:00,8149.95,8155.25,8149.65,8154.2,0
2017,1,2,11:45:00,8154.05,8159.05,8154.05,8158.65,0
2017,1,2,11:50:00,8158.55,8158.8,8156.15,8158.3,0
